adm3_en,adm3_pcode,date,year,week,doh_pois_count,ndvi,pct_area_cropland,pct_area_flood_hazard_5yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_herbaceous_wetland,pct_area_mangroves,pct_area_permanent_water_bodies,pnp,pop_count_mean,pop_count_stdev,pop_count_total,pop_density_mean,pop_density_stdev,pr,rh,rwi_mean,rwi_std,spi3,spi6,tave,tmax,tmin,case_total_dengue,death_total_dengue
Palayan City,PH034919000,2017-01-16,2017,3,2.0,0.6203444273553596,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.5443185480399498,73.61004532096418,0.4248031926722048,0.0445814848217237,,,24.28472674799988,28.14804589259171,21.157210332483256,0.0,
Palayan City,PH034919000,2017-01-23,2017,4,2.0,0.6188287012311215,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,2.3974995355254207,80.27078780004051,0.424803192672205,0.0445814848217237,,,23.684097586571585,26.532587437407493,21.2724129571374,1.0,
Palayan City,PH034919000,2017-01-30,2017,5,2.0,0.6209532117641643,,12.791515789473689,5.291147368421053,8.956963157894737,,,,137.46638932972098,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,13.72862230472776,81.46535816023878,0.4248031926722048,0.0445814848217237,0.9485830254704036,0.5011395588563574,24.950529606594653,28.26172015480092,22.369022609436144,0.0,
Palayan City,PH034919000,2017-02-06,2017,6,2.0,0.6274728479643823,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,0.0,76.40911444642738,0.4248031926722048,0.0445814848217237,,,24.003340639397827,28.230664784751,20.79211439603448,1.0,
Palayan City,PH034919000,2017-02-13,2017,7,2.0,0.6207493207569472,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743873,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.2876425991377044,74.83650592018701,0.424803192672205,0.0445814848217237,,,22.869300162247747,26.330735907318847,19.81450976463248,0.0,
Palayan City,PH034919000,2017-02-20,2017,8,2.0,0.6055249259316783,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.3188545050115909,81.49260764790183,0.4248031926722048,0.0445814848217237,,,25.413976746993107,29.55817037939764,22.036513695714568,0.0,
Palayan City,PH034919000,2017-02-27,2017,9,2.0,0.59208169724181,,12.791515789473689,5.291147368421053,8.956963157894736,,,,74.83966507002057,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.0,81.1113460663765,0.424803192672205,0.0445814848217237,1.0399913679018515,0.7112824494130858,24.994765563598957,28.52883835642501,22.04695823842941,0.0,
Palayan City,PH034919000,2017-03-06,2017,10,2.0,0.5756462803232242,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743873,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.0,77.76348542594687,0.4248031926722049,0.0445814848217237,,,25.09438194732341,29.78791806657545,21.16493624100043,0.0,
Palayan City,PH034919000,2017-03-13,2017,11,2.0,0.5513543665127271,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,0.2045907034773609,74.5720564082744,0.4248031926722048,0.0445814848217237,,,25.51890560428986,29.80293571552105,22.071460619358213,0.0,
Palayan City,PH034919000,2017-03-20,2017,12,2.0,0.5472905431887347,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743873,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,5.023055774716932,79.95769272320982,0.424803192672205,0.0445814848217237,,,26.332672532850896,30.57454556645273,22.754637728875498,0.0,
Palayan City,PH034919000,2017-03-27,2017,13,2.0,0.5348297062594193,,12.791515789473689,5.291147368421053,8.956963157894736,,,,100.92970716387958,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.0881832236026879,74.07123171801392,0.4248031926722048,0.0445814848217237,0.1518049770559897,0.4522528328595711,26.076663471487898,30.244279231777004,22.69842228624673,0.0,
Palayan City,PH034919000,2017-04-03,2017,14,2.0,0.5002521310594341,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.0,71.38604729793342,0.424803192672205,0.0445814848217237,,,26.02140049615789,30.038632332154343,22.477622568229325,1.0,
Palayan City,PH034919000,2017-04-10,2017,15,2.0,0.4706815689630194,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743873,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,0.0,74.58747213288576,0.4248031926722049,0.0445814848217237,,,27.733944926539007,32.575974316378854,23.94747012696509,1.0,
Palayan City,PH034919000,2017-04-17,2017,16,2.0,0.4614274373160673,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,1.4676668475949792,79.11482831746139,0.4248031926722048,0.0445814848217237,,,28.31316679257637,33.253053037391645,24.770789262849725,1.0,
Palayan City,PH034919000,2017-04-24,2017,17,2.0,0.4613039518378772,,12.791515789473689,5.291147368421052,8.956963157894737,,,,,86.17281712743873,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,7.8296010590564595,75.50907125219625,0.424803192672205,0.0445814848217237,,,28.278791889375924,33.11265878745088,24.58303843106745,1.0,
Palayan City,PH034919000,2017-05-01,2017,18,2.0,0.4746612002153725,,12.791515789473689,5.291147368421053,8.956963157894736,,,,130.20931778996953,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,2.9727419041836014,76.7701337958887,0.4248031926722048,0.0445814848217237,0.5184594257102434,0.8043430043815708,28.39052257988609,33.04019264457295,24.6192823146692,0.0,
Palayan City,PH034919000,2017-05-08,2017,19,2.0,0.4918553797584427,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627178,49387.23724365234,369.3858225362264,188.4922033934188,4.617512610471211,72.15800840048668,0.4248031926722048,0.0445814848217237,,,28.902043639168937,33.50675614654693,24.908642470597695,0.0,
Palayan City,PH034919000,2017-05-15,2017,20,2.0,0.4856096339047832,,12.791515789473689,5.291147368421052,8.956963157894737,,,,,86.17281712743873,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,9.457689782353796,80.25059639080123,0.4248031926722049,0.0445814848217237,,,28.30295689360272,33.22148577880604,25.077356233553598,0.0,
Palayan City,PH034919000,2017-05-22,2017,21,2.0,0.4945071992743421,,12.791515789473689,5.291147368421053,8.956963157894737,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,16.508230390492788,88.71670935406632,0.4248031926722048,0.0445814848217237,,,27.254235916733503,31.851723842299155,24.599573661858805,1.0,
Palayan City,PH034919000,2017-05-29,2017,22,2.0,0.5329962055120697,,12.791515789473689,5.291147368421053,8.956963157894736,,,,63.422036832317104,86.17281712743873,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,10.953176307366691,84.69366028933364,0.4248031926722049,0.0445814848217237,0.1217522854489338,0.4605822894945156,28.0945380358151,32.811251037108875,24.940515316994784,0.0,
Palayan City,PH034919000,2017-06-05,2017,23,2.0,0.5563841815903501,,12.791515789473689,5.291147368421053,8.956963157894736,,,,,86.17281712743875,63.88503544627177,49387.23724365234,369.3858225362264,188.4922033934188,5.211888321264249,83.91302038757696,0.4248031926722048,0.0445814848217237,,,27.80832641891134,31.746929984661183,25.107686615110623,0.0,
